,loan_status,annual_inc,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,open_acc,revol_bal,revol_util,total_acc
1012145,Charged Off,104800.0,32.09,0.0,730.0,734.0,0.0,,9.0,10934.0,65.1,23.0
374506,Fully Paid,54500.0,14.25,0.0,715.0,719.0,3.0,,17.0,10510.0,18.4,48.0
1010097,Current,50000.0,5.62,2.0,680.0,684.0,0.0,12.0,7.0,2922.0,20.0,34.0
236498,Fully Paid,62000.0,15.97,0.0,765.0,769.0,0.0,62.0,10.0,3734.0,19.3,17.0
465170,Current,67000.0,13.45,0.0,730.0,734.0,0.0,,4.0,3180.0,17.2,8.0
73423,Fully Paid,43600.0,28.54,0.0,715.0,719.0,0.0,,13.0,21367.0,51.6,18.0
912332,Fully Paid,70000.0,13.82,1.0,680.0,684.0,0.0,23.0,8.0,12308.0,89.2,27.0
794172,Current,35000.0,27.02,0.0,720.0,724.0,1.0,,17.0,14313.0,32.9,24.0
511433,Fully Paid,41500.0,33.31,1.0,675.0,679.0,0.0,13.0,10.0,11817.0,49.0,36.0
677169,Fully Paid,38000.0,23.78,0.0,715.0,719.0,0.0,38.0,21.0,2915.0,41.1,35.0
930264,Fully Paid,64200.0,24.28,0.0,725.0,729.0,0.0,39.0,8.0,3075.0,24.8,19.0
80203,Fully Paid,25015.0,26.04,0.0,680.0,684.0,0.0,,8.0,4276.0,37.2,9.0
386771,Fully Paid,110000.0,19.67,0.0,685.0,689.0,0.0,39.0,11.0,21500.0,48.5,32.0
831077,Current,85000.0,21.23,0.0,800.0,804.0,0.0,,11.0,11100.0,15.6,25.0
526988,Current,225000.0,12.36,0.0,745.0,749.0,0.0,,15.0,6873.0,16.5,29.0
582557,Current,65000.0,14.75,0.0,670.0,674.0,2.0,51.0,13.0,21052.0,45.6,46.0
387830,Fully Paid,27000.0,36.18,0.0,675.0,679.0,1.0,,8.0,10209.0,72.9,19.0
593226,Current,65000.0,19.28,0.0,735.0,739.0,0.0,,7.0,17819.0,54.0,10.0
1016235,Current,400000.0,5.14,0.0,735.0,739.0,0.0,,10.0,44926.0,84.8,20.0
566981,Current,175000.0,12.47,0.0,685.0,689.0,0.0,36.0,8.0,11838.0,85.2,14.0
51890,Fully Paid,70000.0,10.03,0.0,695.0,699.0,2.0,,11.0,9477.0,34.6,17.0
262577,Fully Paid,64000.0,25.54,8.0,710.0,714.0,0.0,6.0,13.0,5213.0,36.2,30.0
924777,Fully Paid,100000.0,9.4,8.0,660.0,664.0,1.0,13.0,3.0,3207.0,97.2,26.0
74463,Fully Paid,48000.0,4.05,1.0,660.0,664.0,0.0,12.0,12.0,6367.0,64.3,20.0
682751,Fully Paid,95750.0,16.76,0.0,680.0,684.0,1.0,38.0,13.0,15125.0,66.0,32.0
267614,Fully Paid,55000.0,20.21,0.0,715.0,719.0,0.0,,14.0,9325.0,25.5,25.0
342501,Charged Off,36000.0,36.73,0.0,710.0,714.0,0.0,,8.0,7146.0,85.0,21.0
448482,Current,40000.0,13.65,0.0,675.0,679.0,2.0,,25.0,23389.0,24.5,36.0
870987,Current,67000.0,23.86,0.0,695.0,699.0,0.0,69.0,10.0,20937.0,68.0,13.0
1012530,Charged Off,126000.0,20.16,1.0,695.0,699.0,3.0,23.0,15.0,64840.0,81.0,34.0
459296,Fully Paid,50000.0,22.18,0.0,680.0,684.0,0.0,,14.0,16745.0,84.1,18.0
866029,Current,25548.0,14.47,0.0,675.0,679.0,0.0,,9.0,8371.0,77.5,12.0
398706,Fully Paid,86695.0,15.2,2.0,755.0,759.0,0.0,21.0,10.0,7111.0,17.8,22.0
416374,Charged Off,100000.0,17.72,0.0,675.0,679.0,1.0,,14.0,602.0,3.5,45.0
229957,Fully Paid,24000.0,30.11,0.0,665.0,669.0,3.0,25.0,7.0,1624.0,54.1,11.0
294184,Fully Paid,46000.0,7.3,0.0,825.0,829.0,0.0,,6.0,12170.0,22.5,21.0
313191,Charged Off,25000.0,13.68,0.0,670.0,674.0,1.0,26.0,6.0,9004.0,48.7,30.0
194326,Fully Paid,109119.0,15.81,0.0,840.0,844.0,1.0,,12.0,216980.0,10.8,28.0
632956,Fully Paid,50000.0,9.38,1.0,665.0,669.0,1.0,12.0,13.0,12157.0,33.8,22.0
411146,Fully Paid,58000.0,18.06,0.0,695.0,699.0,1.0,75.0,15.0,16500.0,57.7,23.0
382936,Fully Paid,38000.0,33.8,1.0,710.0,714.0,0.0,14.0,15.0,5016.0,48.7,27.0
518878,Fully Paid,93000.0,19.29,0.0,675.0,679.0,1.0,26.0,10.0,18785.0,69.8,24.0
886172,Fully Paid,115000.0,30.06,0.0,670.0,674.0,0.0,,9.0,26268.0,93.1,26.0
243282,Fully Paid,30000.0,3.64,0.0,725.0,729.0,1.0,,16.0,188.0,0.4,29.0
814937,Current,105618.0,26.53,1.0,720.0,724.0,0.0,18.0,11.0,13103.0,43.7,23.0
654345,Current,43222.0,23.81,1.0,660.0,664.0,1.0,12.0,9.0,3078.0,25.9,24.0
514213,Current,107000.0,18.63,1.0,665.0,669.0,1.0,22.0,10.0,1418.0,10.7,17.0
438797,Fully Paid,60000.0,0.5,1.0,660.0,664.0,0.0,9.0,6.0,561.0,8.0,41.0
217533,Fully Paid,156000.0,13.52,0.0,710.0,714.0,0.0,,12.0,76293.0,72.3,23.0
983964,Current,25000.0,4.18,0.0,685.0,689.0,0.0,,4.0,2590.0,58.9,6.0
607350,Current,110000.0,23.19,0.0,670.0,674.0,1.0,,12.0,6670.0,66.7,15.0
613293,Fully Paid,35500.0,34.79,0.0,720.0,724.0,1.0,,10.0,8276.0,70.7,19.0
1036110,Current,105000.0,21.19,0.0,660.0,664.0,1.0,41.0,9.0,29984.0,86.2,19.0
751495,Current,42074.0,32.91,2.0,685.0,689.0,1.0,19.0,19.0,8017.0,23.4,28.0
748276,Fully Paid,55000.0,16.76,0.0,660.0,664.0,0.0,,18.0,16739.0,63.2,23.0
381133,Charged Off,85000.0,16.11,0.0,690.0,694.0,1.0,,7.0,20761.0,73.9,30.0
637369,Current,31000.0,46.69,1.0,665.0,669.0,1.0,20.0,12.0,4437.0,52.8,30.0
744620,Charged Off,33573.87,13.73,0.0,710.0,714.0,0.0,,4.0,16207.0,98.0,16.0
503646,Current,45900.0,21.07,0.0,730.0,734.0,0.0,,16.0,5019.0,30.4,26.0
726816,Fully Paid,55120.0,9.49,2.0,660.0,664.0,0.0,2.0,26.0,9280.0,32.7,42.0
753478,Fully Paid,40000.0,8.7,0.0,720.0,724.0,0.0,60.0,8.0,7906.0,44.9,31.0
351815,Fully Paid,50000.0,29.88,0.0,675.0,679.0,1.0,64.0,22.0,20310.0,52.5,38.0
459914,Fully Paid,43000.0,16.08,0.0,755.0,759.0,0.0,,12.0,8313.0,20.1,19.0
176952,Fully Paid,95000.0,17.65,0.0,715.0,719.0,1.0,66.0,15.0,9678.0,34.9,37.0
908637,Current,36000.0,9.3,1.0,660.0,664.0,0.0,7.0,10.0,9002.0,28.9,13.0
261297,Fully Paid,120000.0,10.08,1.0,725.0,729.0,2.0,13.0,6.0,4535.0,19.0,21.0
197044,Fully Paid,80000.0,18.6,0.0,755.0,759.0,0.0,77.0,20.0,5496.0,8.2,45.0
316994,Fully Paid,30000.0,21.72,0.0,660.0,664.0,2.0,59.0,16.0,7869.0,57.9,35.0
1002921,Fully Paid,75000.0,12.55,0.0,745.0,749.0,0.0,33.0,18.0,9695.0,10.9,40.0
702056,Current,63000.0,4.11,0.0,665.0,669.0,1.0,,8.0,5386.0,26.5,18.0
707798,Fully Paid,101000.0,14.51,4.0,675.0,679.0,2.0,10.0,11.0,1870.0,27.5,16.0
459639,Current,82500.0,21.32,0.0,705.0,709.0,0.0,,11.0,32306.0,62.9,18.0
16131,Fully Paid,49000.0,11.09,1.0,660.0,664.0,0.0,17.0,5.0,2243.0,74.8,16.0
455804,Current,135000.0,7.42,0.0,690.0,694.0,1.0,37.0,5.0,27859.0,99.5,16.0
1030661,Fully Paid,120000.0,15.94,0.0,765.0,769.0,0.0,,9.0,23736.0,37.4,11.0
335281,Fully Paid,70000.0,8.62,1.0,715.0,719.0,1.0,20.0,19.0,7534.0,21.8,39.0
816550,Current,55000.0,22.89,0.0,745.0,749.0,0.0,,12.0,13546.0,36.5,17.0
903836,Current,72000.0,25.67,0.0,685.0,689.0,1.0,,13.0,27537.0,55.1,18.0
304983,Charged Off,25000.0,32.72,1.0,700.0,704.0,1.0,12.0,9.0,16966.0,44.4,17.0
848089,Current,51500.0,27.73,0.0,690.0,694.0,0.0,62.0,9.0,20406.0,66.3,22.0
157904,Fully Paid,200000.0,16.77,3.0,660.0,664.0,0.0,5.0,8.0,3539.0,80.4,30.0
661694,Charged Off,72500.0,23.75,0.0,695.0,699.0,2.0,,27.0,49305.0,46.3,49.0
749078,Fully Paid,90000.0,26.51,0.0,705.0,709.0,5.0,37.0,28.0,23470.0,25.2,39.0
488414,Current,82000.0,10.64,0.0,730.0,734.0,2.0,,19.0,35864.0,31.6,35.0
866578,Current,50000.0,45.18,0.0,745.0,749.0,0.0,,15.0,16936.0,26.8,35.0
336198,Current,50000.0,28.92,0.0,680.0,684.0,1.0,,9.0,32982.0,91.9,20.0
420791,Fully Paid,70300.0,22.06,0.0,720.0,724.0,0.0,42.0,12.0,28835.0,37.0,40.0
338533,Fully Paid,160000.0,18.02,0.0,690.0,694.0,0.0,32.0,14.0,32102.0,68.4,34.0
701994,Fully Paid,80000.0,14.7,0.0,660.0,664.0,0.0,,7.0,11270.0,76.1,8.0
366195,Fully Paid,60000.0,14.32,0.0,695.0,699.0,0.0,32.0,6.0,19112.0,98.5,16.0
800644,Current,80000.0,0.25,1.0,705.0,709.0,0.0,20.0,10.0,0.0,0.0,31.0
869138,Current,120000.0,21.97,0.0,715.0,719.0,0.0,,15.0,14054.0,48.8,27.0
825716,Current,283000.0,14.39,1.0,690.0,694.0,0.0,21.0,12.0,1472.0,10.5,32.0
630874,Fully Paid,60000.0,22.86,0.0,745.0,749.0,0.0,,14.0,8306.0,22.1,18.0
140658,Fully Paid,52000.0,10.86,1.0,685.0,689.0,1.0,1.0,10.0,5705.0,23.9,11.0
776291,Current,85000.0,35.13,0.0,730.0,734.0,0.0,,13.0,38108.0,50.5,28.0
519653,Fully Paid,110000.0,11.19,0.0,670.0,674.0,0.0,,26.0,27208.0,13.6,40.0
721008,Fully Paid,71198.0,25.96,0.0,710.0,714.0,0.0,,11.0,19656.0,56.2,22.0
967067,Fully Paid,85000.0,12.2,1.0,725.0,729.0,0.0,21.0,16.0,22201.0,32.3,32.0
774128,Fully Paid,45000.0,22.85,0.0,725.0,729.0,3.0,,13.0,45553.0,24.4,43.0
243199,Fully Paid,37500.0,19.62,0.0,670.0,674.0,1.0,33.0,4.0,4702.0,55.3,19.0
317350,Fully Paid,60000.0,6.78,0.0,660.0,664.0,0.0,,9.0,6874.0,48.8,21.0
569557,Current,105000.0,34.44,1.0,680.0,684.0,0.0,7.0,21.0,49314.0,78.7,38.0
666095,Fully Paid,63000.0,17.52,0.0,685.0,689.0,0.0,44.0,10.0,4987.0,31.8,28.0
864640,Fully Paid,78000.0,25.23,0.0,680.0,684.0,1.0,,14.0,15800.0,39.9,20.0
617218,Charged Off,32000.0,27.49,0.0,685.0,689.0,0.0,,5.0,3166.0,66.0,9.0
791731,Late (16-30 days),64250.0,28.39,0.0,720.0,724.0,1.0,43.0,13.0,9168.0,31.1,36.0
1016324,Charged Off,45000.0,28.37,0.0,700.0,704.0,0.0,,16.0,17928.0,51.2,22.0
346107,Fully Paid,240000.0,5.21,0.0,665.0,669.0,0.0,,6.0,5589.0,29.9,33.0
303136,Fully Paid,42000.0,29.57,0.0,745.0,749.0,0.0,,15.0,5987.0,21.3,20.0
925889,Fully Paid,53000.0,26.14,0.0,680.0,684.0,0.0,34.0,9.0,9404.0,71.8,18.0
651298,Current,52000.0,12.76,0.0,805.0,809.0,0.0,,6.0,8499.0,18.4,16.0
728488,Current,50000.0,5.55,0.0,665.0,669.0,0.0,26.0,5.0,6469.0,41.7,14.0
370176,Fully Paid,500000.0,12.09,1.0,670.0,674.0,2.0,20.0,23.0,97072.0,83.8,49.0
8701,Current,83000.0,9.28,0.0,730.0,734.0,0.0,,3.0,9168.0,37.0,7.0
72804,Fully Paid,62000.0,11.29,2.0,660.0,664.0,0.0,11.0,10.0,13911.0,45.2,20.0
159120,Fully Paid,41020.0,30.55,3.0,690.0,694.0,1.0,22.0,28.0,19639.0,40.0,52.0
19350,Fully Paid,78000.0,26.98,0.0,695.0,699.0,2.0,54.0,14.0,15030.0,43.2,34.0
345387,Fully Paid,75000.0,9.42,0.0,665.0,669.0,1.0,34.0,9.0,5859.0,77.1,26.0
267844,Charged Off,50000.0,20.48,1.0,665.0,669.0,1.0,23.0,21.0,23114.0,89.2,35.0
259649,Fully Paid,42000.0,13.71,1.0,690.0,694.0,0.0,11.0,6.0,4817.0,50.7,9.0
240567,Fully Paid,78000.0,15.2,0.0,675.0,679.0,3.0,,41.0,22167.0,56.8,76.0
135636,Fully Paid,39700.0,32.22,0.0,680.0,684.0,0.0,,13.0,22968.0,85.4,19.0
52702,Current,50000.0,31.35,2.0,660.0,664.0,1.0,15.0,15.0,10011.0,86.3,27.0
702658,Fully Paid,31500.0,20.51,0.0,710.0,714.0,1.0,,17.0,13238.0,29.0,35.0
943073,Fully Paid,91500.0,19.41,0.0,690.0,694.0,1.0,,8.0,4190.0,29.3,13.0
274883,Fully Paid,80000.0,23.34,0.0,795.0,799.0,1.0,,25.0,21578.0,15.2,59.0
208680,Fully Paid,60000.0,23.88,0.0,720.0,724.0,0.0,,10.0,19508.0,48.4,22.0
42861,Fully Paid,37600.0,16.47,1.0,690.0,694.0,1.0,6.0,17.0,5527.0,19.6,20.0
236286,Fully Paid,38821.0,24.14,1.0,695.0,699.0,0.0,20.0,19.0,12929.0,41.0,39.0
608146,Fully Paid,45000.0,31.42,0.0,675.0,679.0,1.0,,13.0,35780.0,67.9,19.0
462490,Current,155000.0,14.73,0.0,725.0,729.0,1.0,41.0,28.0,8187.0,12.6,54.0
995238,Fully Paid,55000.0,12.83,0.0,700.0,704.0,0.0,,9.0,8294.0,54.6,15.0
295313,Fully Paid,106000.0,26.29,0.0,710.0,714.0,0.0,,20.0,24774.0,36.1,29.0
971358,Current,101000.0,5.76,1.0,660.0,664.0,0.0,21.0,5.0,5101.0,79.7,14.0
643680,Fully Paid,50000.0,2.14,0.0,725.0,729.0,0.0,,4.0,4639.0,35.7,4.0
900874,Current,49500.0,30.38,2.0,680.0,684.0,0.0,6.0,12.0,7985.0,51.2,18.0
4014,Fully Paid,71000.0,14.01,0.0,660.0,664.0,1.0,36.0,7.0,6597.0,70.2,15.0
489326,Current,35500.0,13.08,0.0,715.0,719.0,0.0,76.0,3.0,1.0,0.1,15.0
337182,Fully Paid,80000.0,16.52,1.0,740.0,744.0,0.0,10.0,15.0,6017.0,22.4,21.0
205551,Fully Paid,36000.0,24.5,2.0,665.0,669.0,1.0,18.0,9.0,3363.0,50.0,22.0
75299,In Grace Period,100000.0,22.99,0.0,695.0,699.0,0.0,,16.0,27442.0,84.7,26.0
448664,Current,36000.0,8.47,0.0,745.0,749.0,0.0,34.0,6.0,454.0,5.0,14.0
427526,Fully Paid,45000.0,28.08,0.0,675.0,679.0,0.0,,20.0,8714.0,23.7,60.0
206992,Fully Paid,85000.0,14.1,2.0,665.0,669.0,0.0,7.0,9.0,9002.0,79.0,18.0
108569,Fully Paid,138500.0,21.21,0.0,730.0,734.0,0.0,,13.0,30347.0,42.7,25.0
643759,Fully Paid,70000.0,7.8,1.0,690.0,694.0,1.0,,11.0,11700.0,71.0,13.0
367068,Fully Paid,125000.0,22.5,1.0,675.0,679.0,1.0,19.0,7.0,27194.0,97.8,29.0
553676,Current,90000.0,20.75,0.0,665.0,669.0,0.0,,25.0,12939.0,19.7,51.0
964780,Current,80806.34,23.97,0.0,705.0,709.0,0.0,,9.0,12340.0,70.5,19.0
378322,Current,41319.4,25.04,1.0,675.0,679.0,0.0,22.0,11.0,26262.0,77.2,33.0
397856,Fully Paid,120000.0,19.77,1.0,685.0,689.0,0.0,5.0,11.0,5783.0,47.8,18.0
84289,Current,147200.0,26.42,1.0,695.0,699.0,0.0,13.0,12.0,16253.0,91.8,48.0
151907,Charged Off,75000.0,27.54,0.0,690.0,694.0,1.0,,16.0,2248.0,7.7,24.0
412376,Fully Paid,30000.0,33.56,0.0,660.0,664.0,1.0,81.0,9.0,7894.0,71.8,69.0
819024,Late (16-30 days),60000.0,2.61,1.0,665.0,669.0,1.0,6.0,3.0,2942.0,98.1,6.0
400838,Fully Paid,80000.0,17.32,0.0,690.0,694.0,2.0,52.0,21.0,21626.0,27.2,34.0
866061,Fully Paid,36000.0,3.77,0.0,665.0,669.0,0.0,,4.0,4476.0,33.9,15.0
1046157,Fully Paid,62000.0,26.13,0.0,675.0,679.0,1.0,65.0,8.0,11696.0,60.0,12.0
563654,Current,120000.0,33.02,0.0,730.0,734.0,1.0,,24.0,23753.0,38.1,43.0
421704,Current,45000.0,28.64,0.0,685.0,689.0,2.0,,13.0,7179.0,34.5,17.0
44820,Charged Off,66500.0,27.07,0.0,700.0,704.0,0.0,,17.0,17951.0,36.3,39.0
360804,Fully Paid,45000.0,27.73,0.0,690.0,694.0,0.0,,12.0,26264.0,49.1,23.0
78431,Charged Off,60000.0,25.96,0.0,705.0,709.0,3.0,33.0,21.0,3045.0,13.2,34.0
629029,Fully Paid,35500.0,34.21,0.0,680.0,684.0,1.0,41.0,16.0,3593.0,32.7,54.0
139892,Charged Off,53851.0,21.97,0.0,700.0,704.0,0.0,41.0,13.0,17923.0,60.1,24.0
646900,Fully Paid,135000.0,13.98,0.0,720.0,724.0,0.0,27.0,13.0,18350.0,62.2,27.0
17120,Fully Paid,42000.0,17.63,0.0,680.0,684.0,0.0,60.0,23.0,1560.0,2.8,61.0
644774,Current,40000.0,28.65,0.0,705.0,709.0,1.0,,7.0,22251.0,76.2,9.0
889906,Current,27000.0,20.98,2.0,730.0,734.0,1.0,2.0,7.0,2232.0,21.7,12.0
354818,Fully Paid,54700.0,21.15,0.0,685.0,689.0,1.0,,8.0,24067.0,79.2,14.0
30312,Fully Paid,68000.0,10.8,0.0,795.0,799.0,0.0,,15.0,16120.0,20.0,42.0
821129,Current,44000.0,0.9,0.0,665.0,669.0,0.0,,5.0,582.0,2.4,22.0
493747,Charged Off,80000.0,26.94,0.0,745.0,749.0,0.0,48.0,12.0,18577.0,33.2,33.0
452405,Fully Paid,45000.0,25.1,0.0,740.0,744.0,0.0,,11.0,29735.0,48.8,21.0
414686,Fully Paid,100000.0,17.24,0.0,660.0,664.0,6.0,75.0,9.0,3420.0,64.0,24.0
54241,Charged Off,45000.0,18.08,0.0,670.0,674.0,0.0,,23.0,25037.0,37.9,28.0
519288,Current,95000.0,18.97,0.0,725.0,729.0,0.0,,8.0,30954.0,53.0,13.0
430461,Current,50000.0,39.8,0.0,720.0,724.0,0.0,,9.0,21477.0,74.8,12.0
835683,Current,23000.0,10.49,0.0,715.0,719.0,1.0,,19.0,1983.0,5.5,21.0
